Device_ID,Timestamp,RSRP_dBm,RSRQ_dB,SINR_dB,CPU_Usage_Percent,Available_CPU_Percent,Max_CPU_Frequency_MHz,CPU_Temperature_C,Used_Memory_GB,Total_Memory_GB,Memory_Usage_Percent,Available_Memory_Percent,Available_Memory_GB,Used_Storage_GB,Total_Storage_GB,Storage_Usage_Percent,Available_Storage_Percent,Available_Storage_GB,Active_Tasks
orange_pi_A,2025-06-25T09:53:46Z,-101.7,-10.2,2.6,54.7,45.3,2327.3,72.3,2.49,4,62.3,37.7,1.51,12.97,32,40.5,59.5,19.03,151
orange_pi_A,2025-06-25T09:54:16Z,-87.9,-6.4,17.1,50.6,49.4,2318.9,54.4,2.54,4,63.5,36.5,1.46,7.24,32,22.6,77.4,24.76,113
orange_pi_A,2025-06-25T09:54:46Z,-106.8,-12.3,24.7,40.5,59.5,2149,47.3,1.94,4,48.5,51.5,2.06,5.26,32,16.4,83.6,26.74,166
orange_pi_A,2025-06-25T09:55:16Z,-87.7,-11.8,8.3,19.6,80.4,1364.8,64.5,2.64,4,66,34,1.36,13.78,32,43.1,56.9,18.22,103
orange_pi_A,2025-06-25T09:55:46Z,-104.1,-11.2,19.4,71.2,28.8,1576.1,51.9,1.65,4,41.2,58.8,2.35,5.32,32,16.6,83.4,26.68,108
orange_pi_A,2025-06-25T09:56:16Z,-90,-10.5,20.7,83.2,16.8,2356.5,54.8,2.72,4,68,32,1.28,6.6,32,20.6,79.4,25.4,153
orange_pi_A,2025-06-25T09:56:46Z,-93.5,-7.2,15.7,59.1,40.9,1568.6,58.2,1.59,4,39.8,60.2,2.41,5.23,32,16.3,83.7,26.77,139
orange_pi_A,2025-06-25T09:57:16Z,-114.8,-6.3,3,64.6,35.4,1691.2,65.2,1.75,4,43.8,56.2,2.25,5.92,32,18.5,81.5,26.08,144
orange_pi_A,2025-06-25T09:57:46Z,-94.7,-5.7,17.3,40.5,59.5,1678.4,51.2,2.99,4,74.8,25.2,1.01,9.91,32,31,69,22.09,146
orange_pi_A,2025-06-25T09:58:16Z,-98.3,-12.7,17.6,41.4,58.6,1549.4,66.4,2.37,4,59.2,40.8,1.63,10.56,32,33,67,21.44,165
orange_pi_A,2025-06-25T09:58:46Z,-104.1,-12.2,2.7,78.1,21.9,1078,75.8,2.84,4,71,29,1.16,6.94,32,21.7,78.3,25.06,110
orange_pi_A,2025-06-25T09:59:16Z,-90.6,-12.1,5.3,22.2,77.8,1766.8,65.1,1.73,4,43.2,56.8,2.27,10.67,32,33.3,66.7,21.33,115
orange_pi_A,2025-06-25T09:59:46Z,-91.3,-7.1,6.3,34.2,65.8,1229.7,44.1,1.66,4,41.5,58.5,2.34,12.67,32,39.6,60.4,19.33,185
orange_pi_A,2025-06-25T10:00:16Z,-97.4,-5.7,3,43.1,56.9,1269.6,45.5,2.7,4,67.5,32.5,1.3,7.35,32,23,77,24.65,185
orange_pi_A,2025-06-25T10:00:46Z,-103.8,-6.1,-1.1,15.7,84.3,2086,77.7,1.44,4,36,64,2.56,7.18,32,22.4,77.6,24.82,130
orange_pi_A,2025-06-25T10:01:16Z,-88.7,-8.6,3.4,47.2,52.8,1735.8,61.4,1.75,4,43.8,56.2,2.25,6.92,32,21.6,78.4,25.08,113
orange_pi_A,2025-06-25T10:01:46Z,-105.3,-14.7,2.1,49.2,50.8,2090.4,50.4,2.1,4,52.5,47.5,1.9,13.04,32,40.8,59.2,18.96,197
orange_pi_A,2025-06-25T10:02:16Z,-88.6,-8,4.5,79.2,20.8,1354.8,63.2,2.53,4,63.2,36.8,1.47,10.34,32,32.3,67.7,21.66,139
orange_pi_A,2025-06-25T10:02:46Z,-98.6,-12,-4.7,57.2,42.8,1395.1,64.5,1.63,4,40.8,59.2,2.37,7.96,32,24.9,75.1,24.04,167
orange_pi_A,2025-06-25T10:03:16Z,-101.4,-13.4,2.7,13.3,86.7,2270.4,40.4,2.91,4,72.8,27.2,1.09,13.94,32,43.6,56.4,18.06,192
orange_pi_A,2025-06-25T10:03:46Z,-104,-7.5,5.7,59.3,40.7,2342.6,58.4,1.24,4,31,69,2.76,10.97,32,34.3,65.7,21.03,108
orange_pi_A,2025-06-25T10:04:16Z,-103.2,-6.6,17.3,60.1,39.9,1702.7,56.7,2.89,4,72.2,27.8,1.11,7,32,21.9,78.1,25,156
orange_pi_A,2025-06-25T10:04:46Z,-91.7,-5.1,21,47.2,52.8,2134.1,66.1,2.03,4,50.7,49.3,1.97,7.06,32,22.1,77.9,24.94,179
orange_pi_A,2025-06-25T10:05:16Z,-103.2,-11.5,-4.6,72.2,27.8,2222.5,48.4,2.51,4,62.7,37.3,1.49,6.71,32,21,79,25.29,144
orange_pi_A,2025-06-25T10:05:46Z,-101.8,-13.7,3.5,79.1,20.9,2210.2,50.4,2.34,4,58.5,41.5,1.66,8.37,32,26.2,73.8,23.63,162
orange_pi_A,2025-06-25T10:06:16Z,-87.8,-7.8,-0.3,43.2,56.8,2301.4,43.3,2.29,4,57.2,42.8,1.71,9.76,32,30.5,69.5,22.24,135
